,,,"Important: Un parcours est différent d'un niveau. Un parcours est un enchaînement de plusieurs niveaux. Le joueur selectionne un parcours, et va jouer les X niveau qui le compose.",,,,,,,,,
,,,https://youtu.be/nQIfksG9qfk?t=337,,,,,,,,,
,,,,,,,,,,,,
Key/Language,Description,EN,FR,DE,ES,PTBR,IT,RU,JP,KO,TCH,SCH
Menu_Title_Exit,TITLE SCREEN,Exit,Quitter,Beenden,Salir,Sair,Esci,Выход,ゲームをしゅうりょう,나가기,退出,退出
Menu_Title_Press,,Press,Appuyez sur,Zum Starten,Pulsa,Aperte,Premi,Нажмите,,시작하려면,輕按,轻按
Menu_Title_ToStart,,to start,pour commencer,drücken,para empezar,para começar,per iniziare,/ чтобы начать,スタート,버튼을 누르세요,以開始,以开始
Menu_Selection_Press,CHARACTERS SELECTION,Press,Appuyez sur,Zum Beitreten,Pulsa,Pressione,Premi,Нажмите,,참가하려면,輕按,轻按
Menu_Selection_Join,,to join,pour commencer,drücken,para unirte,para entrar,per unirti,/ чтобы присоединиться,さんか,버튼을 누르세요,以加入,以加入
Menu_Selection_Ready,,Ready!!!,Prêt !!!,Bereit!!!,¡¡¡Listo!!!,Pronto!!!,Pronto!!!,Готово!!!,イケマス！,준비!!!,準備！！！,预备！！！
Menu_Selection_Character,,Costume,Costume,Kostüm,Disfraz,Visual,Costume,Костюм,コスチューム,의상,服裝,套装
Menu_Selection_Color,,Skin color,Couleur de peau,Hautfarbe,Color de piel,Cor da pele,Colore pelle,Цвет кожи,イロ,피부 색상,膚色,肤色
Menu_Selection_Hair,,Hair,Cheveux,Haar,Pelo,Cabelo,Capelli,Волосы,アタマ,머리,頭髮,头发
Menu_Selection_Glasses,,Glasses,Lunettes,Brille,Gafas,Óculos,Occhiali,Очки,メガネ,안경,眼鏡,眼镜
Menu_Selection_FacialFeatures,,Face,Visage,Gesicht,Cara,Rosto,Viso,Лицо,カオ,얼굴,臉龐,脸庞
Menu_Selection_Arms,,Arms,Bras,Arme,Brazos,Braços,Braccia,Руки,ウデ,방어구,雙臂,双臂
Menu_Selection_Personality,,Voice,Voix,Stimme,Voz,Voz,Voce,Голос,コエ,음성,聲音,声音
Menu_Selection_Assistance,,Assistance mode,Mode débutant,Unterstützungsmodus,Modo Principiante,Modo Iniciante,Modalità assistita,Режим новичка,オタスケグローブ,지원 모드,輔助模式,辅助模式
Menu_Selection_Remove,,Remove,Retirer,Entfernen,Eliminar,Remover,Rimuovi,Удалить,はずす,제거,移除,移除
Menu_Selection_Random,,Random,Aléatoire,Zufällig,Aleatorio,Aleatório,Casuale,Случайно,おまかせ,랜덤,隨機,随机
Menu_Selection_Confirm,,Confirm,Confirmer,Bestätigen,Confirmar,Confirmar,Conferma,Подтвердить,OK,확인,確認,确认
Menu_Selection_Cancel,,Cancel,Annuler,Abbrechen,Cancelar,Cancelar,Annulla,Отменить,キャンセル,취소,取消,取消
Menu_Selection_Go,,Let's go!,C'est parti !,Los geht's!,¡Vamos allá!,Vamos nessa!,Si parte!,Вперед!,GO!,시작!,開始吧！,开始吧！
Menu_Sound_MusicVolume,OPTIONS,Music,Musique,Musik,Música,Música,Musica,Музыка,BGM,음악,音樂,音乐
Menu_Sound_SFXVolume,,SFX,Bruitages,Effekte,Efectos sonoros,Efeitos sonoros,Effetti,Звук,SE,효과음,音效,音效
Menu_Sound_VoicesVolume,,Voices,Voix,Stimmen,Voces,Vozes,Voci,Голоса,ボイス,음성,聲音,声音
Menu_Tuto_MoveArms,TUTORIAL,Use the sticks to move your arms,Utilisez les sticks pour bouger les bras,Bewege mit dem Stick deine Arme,Usa la palanca para mover los brazos,Use o botão analógico para mover os braços,Usa lo stick per muovere le braccia,Используйте мини-джойстики/ чтобы двигать руками,スティックで ウデを うごかす,스틱을 움직여 팔을 움직입니다,用搖桿操縱雙臂,用摇杆操纵双臂
Menu_Tuto_Grab,,Use the triggers to grab the platform,Utilisez les gâchettes pour attraper les plateformes,Halte dich mit den Schultertasten fest,Usa los gatillos para agarrar la plataforma,Use os gatilhos para segurar na plataforma,Usa i grilletti per afferrare la piattaforma,Используйте кнопки ZL и ZR/ чтобы схватиться за платформу,トリガーで アッチコッチ つかむ,트리거를 눌러 플랫폼을 잡습니다,用肩部板機抓住平臺,用肩键抓住平台
Menu_Tuto_Skip,,Skip the tutorial,Quitter l'initiation,Einführung überspringen,Omitir el tutorial,Pular tutorial,Salta il tutorial,Пропустить обучение,チュートリアルをスキップ,튜토리얼 스킵,跳過教學,跳过教程
Menu_Score_Score,,Score,Score,Punkte,Puntuación,Pontos,Punti,Счет,スコア,점수,得分,得分
Menu_Score_Skip,,Skip,Quitter,Überspringen,Omitir,Pular,Salta,Пропустить,スキップ,스킵,跳過,跳过
Menu_Score_End,RECAP SCORE,Congratulations!,Félicitations !,Glückwunsch!,¡Enhorabuena!,Parabéns!,Complimenti!,Поздравляем!,ヤッタネ！,축하합니다!,恭喜你！,恭喜你！
Menu_Score_Nb_Player_Dead,,Number of deaths in this run:,Nombre de morts pendant la partie :,Tode bei diesem Parcours:,Número de muertes en esta partida:,Mortes nesta série:,Numero di morti in questo percorso:,Количество смертей во время испытания:,このコースで ツブレた かいすう,이 도전에서 죽은 수:,本輪死亡次數：,本轮死亡次数：
Menu_Score_NobodyDied_1,,Wow!!!,Waouh !!!,Wow!!!,¡Vaya!,Uau!!!,Wow!!!,Ого!!!,オミゴト！,우와!!!,哇哦！！！,哇哦！！！
Menu_Score_NobodyDied_2,,Nobody died during this run!,Personne n'est mort pendant cette partie !,Bei diesem Parcours ist niemand gestorben!,¡Nadie ha muerto en esta partida!,Ninguém morreu nessa série!,Nessuno è morto in questo percorso!,Во время испытания обошлось без жертв!,だれも ツブレず コースクリア！,이 도전에서 아무도 죽지 않았습니다!,這一輪下來沒人死掉！,这一轮下来没人死掉！
Menu_Score_Token,,Tokens found:,Jetons trouvés :,Gefundene Münzen:,Fichas encontradas:,Fichas encontradas:,Gettoni trovati:,Найдено жетонов:,ゲットしたトークン,발견한 토큰 수:,找到金幣數：,找到金币数：
Menu_Score_Runtime,,Run time:,Temps joué :,Spielzeit:,Tiempo:,Tempo:,Tempo percorso:,Время испытания:,かかったじかん,도전 시간:,本輪用時：,本轮用时：
Menu_Score_Record,,Best score!,Meilleur temps !,Rekord!,¡Mejor puntuación!,Recorde!,Record!,Лучшее время!,ベストスコア！,최고 점수!,最佳成績！,最佳成绩！
